g,IPR
0.000000000000000000e+00,7.142857142857118868e-02
2.000000000000000111e-01,7.150771573462554043e-02
4.000000000000000222e-01,7.174873350903469837e-02
6.000000000000000888e-01,7.216274748244885795e-02
8.000000000000000444e-01,7.276958265490496292e-02
1.000000000000000000e+00,7.359991793834128049e-02
1.200000000000000178e+00,7.469878133984725332e-02
1.400000000000000133e+00,7.613095578479429915e-02
1.600000000000000089e+00,7.798916775550350511e-02
1.800000000000000044e+00,8.040607866379920199e-02
2.000000000000000000e+00,8.357101013264987832e-02
2.200000000000000178e+00,8.775049295686271345e-02
2.400000000000000355e+00,9.330591778839483763e-02
2.600000000000000089e+00,1.006887325140184419e-01
2.800000000000000266e+00,1.103802811862963501e-01
3.000000000000000000e+00,1.227645397449226294e-01
3.200000000000000178e+00,1.380116945280215890e-01
3.400000000000000355e+00,1.561045003212125637e-01
3.600000000000000089e+00,1.769826255540822568e-01
3.800000000000000266e+00,2.005586336877859810e-01
4.000000000000000000e+00,2.264208899762637506e-01
4.200000000000000178e+00,2.534955650973779728e-01
4.400000000000000355e+00,2.802545311430508224e-01
4.600000000000000533e+00,3.053701172481978476e-01
4.800000000000000711e+00,3.280994265787974262e-01
5.000000000000000000e+00,3.482228539292826497e-01
5.200000000000000178e+00,7.392623605792415509e-01
5.400000000000000355e+00,7.797551716461630367e-01
5.600000000000000533e+00,8.121993092599518738e-01
5.800000000000000711e+00,8.385880358491203390e-01
6.000000000000000000e+00,8.603128209982258134e-01
6.200000000000000178e+00,8.783794263031576843e-01
6.400000000000000355e+00,8.935343233514599914e-01
6.600000000000000533e+00,9.063432083938972594e-01
6.800000000000000711e+00,9.172421087033409970e-01
7.000000000000000000e+00,9.265718829851395943e-01
7.200000000000000178e+00,9.346022270909891683e-01
7.400000000000000355e+00,9.415487728264937406e-01
7.600000000000000533e+00,9.475855209851725691e-01
7.800000000000000711e+00,9.528540365939622836e-01
8.000000000000000000e+00,9.574703504415654765e-01
