g,IPR
0.000000000000000000e+00,5.000000000000000278e-02
2.000000000000000111e-01,5.000000000000000278e-02
4.000000000000000222e-01,5.000000000000000971e-02
6.000000000000000888e-01,5.000000000000000971e-02
8.000000000000000444e-01,5.000000000000001665e-02
1.000000000000000000e+00,5.000000000000000971e-02
1.200000000000000178e+00,5.000000000000000278e-02
1.400000000000000133e+00,4.999999999999998890e-02
1.600000000000000089e+00,4.999999999999998890e-02
1.800000000000000044e+00,4.999999999999998890e-02
2.000000000000000000e+00,5.000000000000000278e-02
2.200000000000000178e+00,4.999999999999999584e-02
2.400000000000000355e+00,5.000000000000000278e-02
2.600000000000000089e+00,5.000000000000000971e-02
2.800000000000000266e+00,5.000000000000000278e-02
3.000000000000000000e+00,5.000000000000002359e-02
3.200000000000000178e+00,5.000000000000000971e-02
3.400000000000000355e+00,5.000000000000002359e-02
3.600000000000000089e+00,5.000000000000000278e-02
3.800000000000000266e+00,4.999999999999999584e-02
4.000000000000000000e+00,4.999999999999999584e-02
4.200000000000000178e+00,4.999999999999999584e-02
4.400000000000000355e+00,5.000000000000000278e-02
4.600000000000000533e+00,4.999999999999998890e-02
4.800000000000000711e+00,5.000000000000000971e-02
5.000000000000000000e+00,5.000000000000000971e-02
5.200000000000000178e+00,1.374202948065635088e-01
5.400000000000000355e+00,7.797551693679453111e-01
5.600000000000000533e+00,8.121993092517757473e-01
5.800000000000000711e+00,8.385880358474152585e-01
6.000000000000000000e+00,8.603128209978414542e-01
6.200000000000000178e+00,8.783794263030652028e-01
6.400000000000000355e+00,8.935343233514360106e-01
6.600000000000000533e+00,9.063432083938905981e-01
6.800000000000000711e+00,9.172421087033393317e-01
7.000000000000000000e+00,9.265718829851391503e-01
7.200000000000000178e+00,9.346022270909896124e-01
7.400000000000000355e+00,9.415487728264940737e-01
7.600000000000000533e+00,9.475855209851730132e-01
7.800000000000000711e+00,9.528540365939622836e-01
8.000000000000000000e+00,9.574703504415654765e-01
