# alpha,E(alpha)
0.000000000000000000e+00,-1.996206657474087987e+00
2.500000000000000139e-02,-1.996210820658018470e+00
5.000000000000000278e-02,-1.996221484029758075e+00
7.500000000000001110e-02,-1.996233535286893623e+00
1.000000000000000056e-01,-1.996239515222079319e+00
1.250000000000000000e-01,-1.996230765392687179e+00
1.500000000000000222e-01,-1.996198441449642980e+00
1.750000000000000167e-01,-1.996134215177152615e+00
2.000000000000000111e-01,-1.996030653019261525e+00
2.250000000000000056e-01,-1.995881347366079694e+00
2.500000000000000000e-01,-1.995680894610429856e+00
2.750000000000000222e-01,-1.995424795781790106e+00
3.000000000000000444e-01,-1.995109329123592623e+00
3.250000000000000111e-01,-1.994731422060003867e+00
3.500000000000000333e-01,-1.994288535452982458e+00
3.750000000000000000e-01,-1.993778564656081942e+00
4.000000000000000222e-01,-1.993199757571520569e+00
4.250000000000000444e-01,-1.992550648015957160e+00
4.500000000000000111e-01,-1.991830002076521389e+00
4.750000000000000333e-01,-1.991036775131931336e+00
5.000000000000000000e-01,-1.990170077465640786e+00
5.250000000000000222e-01,-1.989229146728162201e+00
5.500000000000000444e-01,-1.988213325830263445e+00
5.750000000000000666e-01,-1.987122045134253279e+00
6.000000000000000888e-01,-1.985954808048199460e+00
6.250000000000000000e-01,-1.984711179319557539e+00
6.500000000000000222e-01,-1.983390775476517653e+00
6.750000000000000444e-01,-1.981993256984477370e+00
7.000000000000000666e-01,-1.980518321777809732e+00
7.250000000000000888e-01,-1.978965699899375430e+00
7.500000000000000000e-01,-1.977335149036361317e+00
7.750000000000000222e-01,-1.975626450784780719e+00
8.000000000000000444e-01,-1.973839407509141886e+00
8.250000000000000666e-01,-1.971973839690472019e+00
8.500000000000000888e-01,-1.970029583676935481e+00
8.750000000000000000e-01,-1.968006489767841538e+00
9.000000000000000222e-01,-1.965904420574892342e+00
9.250000000000000444e-01,-1.963723249615081601e+00
9.500000000000000666e-01,-1.961462860097823446e+00
9.750000000000000888e-01,-1.959123143875691531e+00
1.000000000000000000e+00,-1.956704000533488141e+00
1.025000000000000133e+00,-1.954205336594682541e+00
1.050000000000000044e+00,-1.951627064827838431e+00
1.074999999999999956e+00,-1.948969103638509059e+00
1.100000000000000089e+00,-1.946231376534428570e+00
1.125000000000000000e+00,-1.943413811653780243e+00
1.150000000000000133e+00,-1.940516341347920504e+00
1.175000000000000044e+00,-1.937538901811250103e+00
1.200000000000000178e+00,-1.934481432752034324e+00
1.225000000000000089e+00,-1.931343877098899986e+00
1.250000000000000000e+00,-1.928126180738463757e+00
1.275000000000000133e+00,-1.924828292280261532e+00
1.300000000000000044e+00,-1.921450162845619980e+00
1.325000000000000178e+00,-1.917991745877601684e+00
1.350000000000000089e+00,-1.914452996969577381e+00
1.375000000000000000e+00,-1.910833873710219510e+00
1.400000000000000133e+00,-1.907134335543113846e+00
1.425000000000000044e+00,-1.903354343639287460e+00
1.450000000000000178e+00,-1.899493860781310328e+00
1.475000000000000089e+00,-1.895552851257662708e+00
1.500000000000000000e+00,-1.891531280766307832e+00
