# alpha,E(alpha)
0.000000000000000000e+00,-2.000000000000000000e+00
2.500000000000000139e-02,-2.000003426762658520e+00
5.000000000000000278e-02,-2.000011847222505690e+00
7.500000000000001110e-02,-2.000020021969335815e+00
1.000000000000000056e-01,-2.000020171137034009e+00
1.250000000000000000e-01,-2.000003050073605682e+00
1.500000000000000222e-01,-1.999958959207816633e+00
1.750000000000000167e-01,-1.999878506717103210e+00
2.000000000000000111e-01,-1.999753078108095439e+00
2.250000000000000056e-01,-1.999575056009855079e+00
2.500000000000000000e-01,-1.999337865998599417e+00
2.750000000000000222e-01,-1.999035920049748061e+00
3.000000000000000444e-01,-1.998664510599989619e+00
3.250000000000000111e-01,-1.998219688793125615e+00
3.500000000000000333e-01,-1.997698145559958505e+00
3.750000000000000000e-01,-1.997097104389775613e+00
4.000000000000000222e-01,-1.996414228902623433e+00
4.250000000000000444e-01,-1.995647545285792246e+00
4.500000000000000111e-01,-1.994795378241192463e+00
4.750000000000000333e-01,-1.993856298579839370e+00
5.000000000000000000e-01,-1.992829080553075949e+00
5.250000000000000222e-01,-1.991712667175340012e+00
5.500000000000000444e-01,-1.990506142035288306e+00
5.750000000000000666e-01,-1.989208706343094768e+00
6.000000000000000888e-01,-1.987819660191523230e+00
6.250000000000000000e-01,-1.986338387205903722e+00
6.500000000000000222e-01,-1.984764341922142572e+00
6.750000000000000444e-01,-1.983097039365123937e+00
7.000000000000000666e-01,-1.981336046406808604e+00
7.250000000000000888e-01,-1.979480974568446960e+00
7.500000000000000000e-01,-1.977531473998864531e+00
7.750000000000000222e-01,-1.975487228414245067e+00
8.000000000000000444e-01,-1.973347950827092578e+00
8.250000000000000666e-01,-1.971113379925643727e+00
8.500000000000000888e-01,-1.968783276991562969e+00
8.750000000000000000e-01,-1.966357423264930349e+00
9.000000000000000222e-01,-1.963835617682479384e+00
9.250000000000000444e-01,-1.961217674928491972e+00
9.500000000000000666e-01,-1.958503423748667815e+00
9.750000000000000888e-01,-1.955692705486083760e+00
1.000000000000000000e+00,-1.952785372805329267e+00
1.025000000000000133e+00,-1.949781288576797333e+00
1.050000000000000044e+00,-1.946680324897674508e+00
1.074999999999999956e+00,-1.943482362230096294e+00
1.100000000000000089e+00,-1.940187288640023322e+00
1.125000000000000000e+00,-1.936794999123040206e+00
1.150000000000000133e+00,-1.933305395005343819e+00
1.175000000000000044e+00,-1.929718383410070404e+00
1.200000000000000178e+00,-1.926033876780478105e+00
1.225000000000000089e+00,-1.922251792452835950e+00
1.250000000000000000e+00,-1.918372052272834027e+00
1.275000000000000133e+00,-1.914394582250242394e+00
1.300000000000000044e+00,-1.910319312247257484e+00
1.325000000000000178e+00,-1.906146175696608935e+00
1.350000000000000089e+00,-1.901875109346018666e+00
1.375000000000000000e+00,-1.897506053026055461e+00
1.400000000000000133e+00,-1.893038949438808682e+00
1.425000000000000044e+00,-1.888473743965121576e+00
1.450000000000000178e+00,-1.883810384488439071e+00
1.475000000000000089e+00,-1.879048821233524125e+00
1.500000000000000000e+00,-1.874189006618532938e+00
