# g,occ0,occ1,ipr
0.000000000000000000e+00,5.000000000000002220e-01,4.999999999999998890e-01,5.000000000000001110e-01
5.000000000000000278e-02,5.000000000000001110e-01,4.999999999999997780e-01,4.999999999999998890e-01
1.000000000000000056e-01,5.000000000000001110e-01,4.999999999999997780e-01,4.999999999999998890e-01
1.500000000000000222e-01,5.000000000000002220e-01,4.999999999999997224e-01,4.999999999999999445e-01
2.000000000000000111e-01,5.000000000000004441e-01,4.999999999999998335e-01,5.000000000000002220e-01
2.500000000000000000e-01,5.000000000000000000e-01,4.999999999999993339e-01,4.999999999999993339e-01
3.000000000000000444e-01,5.000000000000003331e-01,4.999999999999996669e-01,5.000000000000000000e-01
3.500000000000000333e-01,5.000000000000004441e-01,4.999999999999997224e-01,5.000000000000002220e-01
4.000000000000000222e-01,5.000000000000001110e-01,4.999999999999994449e-01,4.999999999999995559e-01
4.500000000000000111e-01,5.000000000000001110e-01,4.999999999999994449e-01,4.999999999999995559e-01
5.000000000000000000e-01,5.000000000000005551e-01,5.000000000000000000e-01,5.000000000000005551e-01
5.500000000000000444e-01,5.000000000000002220e-01,4.999999999999997224e-01,4.999999999999999445e-01
6.000000000000000888e-01,5.000000000000006661e-01,4.999999999999997224e-01,5.000000000000004441e-01
6.500000000000000222e-01,4.999999999999995004e-01,4.999999999999989453e-01,4.999999999999984457e-01
7.000000000000000666e-01,5.000000000000002220e-01,4.999999999999995004e-01,4.999999999999997224e-01
7.500000000000000000e-01,5.000000000000002220e-01,4.999999999999996114e-01,4.999999999999998335e-01
8.000000000000000444e-01,5.000000000000002220e-01,4.999999999999993339e-01,4.999999999999995559e-01
8.500000000000000888e-01,4.999999999999998335e-01,4.999999999999994449e-01,4.999999999999992784e-01
9.000000000000000222e-01,5.000000000000002220e-01,4.999999999999993339e-01,4.999999999999995559e-01
9.500000000000000666e-01,5.000000000000005551e-01,4.999999999999998335e-01,5.000000000000004441e-01
1.000000000000000000e+00,5.000000000000002220e-01,4.999999999999993894e-01,4.999999999999996114e-01
1.050000000000000044e+00,4.999999999999998890e-01,4.999999999999996669e-01,4.999999999999995559e-01
1.100000000000000089e+00,5.000000000000004441e-01,4.999999999999996669e-01,5.000000000000001110e-01
1.150000000000000133e+00,5.000000000000008882e-01,4.999999999999999445e-01,5.000000000000008882e-01
1.200000000000000178e+00,4.999999999999998890e-01,4.999999999999996669e-01,4.999999999999995559e-01
1.250000000000000000e+00,5.000000000000004441e-01,4.999999999999995559e-01,5.000000000000000000e-01
1.300000000000000044e+00,5.000000000000000000e-01,5.000000000000002220e-01,5.000000000000002220e-01
1.350000000000000089e+00,4.999999999999994449e-01,5.000000000000001110e-01,4.999999999999995559e-01
1.400000000000000133e+00,4.999999999999998335e-01,4.999999999999998335e-01,4.999999999999996669e-01
1.450000000000000178e+00,5.000000000000003331e-01,4.999999999999996669e-01,5.000000000000000000e-01
