# g,E
0.000000000000000000e+00,-1.996206657474088209e+00
7.499999999999999722e-02,-1.996289479115527454e+00
1.499999999999999944e-01,-1.996539183789828309e+00
2.249999999999999778e-01,-1.996959704524102541e+00
2.999999999999999889e-01,-1.997558379193513423e+00
3.750000000000000000e-01,-1.998347402592077771e+00
4.499999999999999556e-01,-1.999346540516732329e+00
5.250000000000000222e-01,-2.000588093314221272e+00
5.999999999999999778e-01,-2.002125657473442288e+00
6.749999999999999334e-01,-2.004047748656558880e+00
7.500000000000000000e-01,-2.006492092868912724e+00
8.249999999999999556e-01,-2.009646036561956617e+00
8.999999999999999112e-01,-2.013725110946944508e+00
9.749999999999999778e-01,-2.018952048860524595e+00
1.050000000000000044e+00,-2.025555702962754889e+00
1.125000000000000000e+00,-2.033780906602562943e+00
1.199999999999999956e+00,-2.043898267549641545e+00
1.274999999999999911e+00,-2.056212709612259104e+00
1.349999999999999867e+00,-2.071072939033913762e+00
1.425000000000000044e+00,-2.088881568182611836e+00
1.500000000000000000e+00,-2.110097018114754697e+00
1.574999999999999956e+00,-2.135205835230171267e+00
1.649999999999999911e+00,-2.168167349652057485e+00
1.724999999999999867e+00,-2.212527723912359079e+00
1.799999999999999822e+00,-2.275349128707103930e+00
1.875000000000000000e+00,-2.355020725712637208e+00
1.949999999999999956e+00,-2.448774710108270636e+00
2.024999999999999911e+00,-2.554745430745832824e+00
2.100000000000000089e+00,-2.671646565454816713e+00
2.174999999999999822e+00,-2.798541137203059748e+00
2.250000000000000000e+00,-2.934718150836740591e+00
2.324999999999999734e+00,-3.079621901492219482e+00
2.399999999999999911e+00,-3.232808346525901211e+00
2.475000000000000089e+00,-3.393916521987064616e+00
2.549999999999999822e+00,-3.562648924917291460e+00
2.625000000000000000e+00,-3.738757550001735819e+00
2.699999999999999734e+00,-3.922033658422959146e+00
2.774999999999999911e+00,-4.112300102856995210e+00
2.850000000000000089e+00,-4.309405456964478631e+00
2.924999999999999822e+00,-4.513219451190187748e+00
3.000000000000000000e+00,-4.723629374459211050e+00
3.074999999999999734e+00,-4.940537203029852442e+00
3.149999999999999911e+00,-5.163857285373260275e+00
3.225000000000000089e+00,-5.393514457968635156e+00
3.299999999999999822e+00,-5.629442499080806073e+00
3.375000000000000000e+00,-5.871582850412512045e+00
3.449999999999999734e+00,-6.119883553089964678e+00
3.524999999999999911e+00,-6.374298356592844605e+00
3.599999999999999645e+00,-6.634785968311240012e+00
3.674999999999999822e+00,-6.901309418255664241e+00
3.750000000000000000e+00,-7.173835518666463962e+00
3.824999999999999734e+00,-7.452334402288124160e+00
3.899999999999999911e+00,-7.736779126223036762e+00
3.974999999999999645e+00,-8.027145330717525340e+00
4.049999999999999822e+00,-8.323410944193746275e+00
4.125000000000000000e+00,-8.625555927372502651e+00
4.200000000000000178e+00,-8.933562050589257453e+00
4.274999999999999467e+00,-9.247412699403460223e+00
4.349999999999999645e+00,-9.567092704402574199e+00
4.424999999999999822e+00,-9.892588191780083307e+00
4.500000000000000000e+00,-1.022388645181176514e+01
4.575000000000000178e+00,-1.056097582277528701e+01
4.649999999999999467e+00,-1.090384558827205730e+01
4.724999999999999645e+00,-1.125248588620573109e+01
4.799999999999999822e+00,-1.160688762785019001e+01
4.875000000000000000e+00,-1.196704242584391942e+01
4.950000000000000178e+00,-1.233294252989638551e+01
5.024999999999999467e+00,-1.270458076931446278e+01
5.099999999999999645e+00,-1.308195050154776418e+01
5.174999999999999822e+00,-1.346504556596561564e+01
5.250000000000000000e+00,-1.385386024237342006e+01
5.325000000000000178e+00,-1.424838921358372268e+01
5.399999999999999467e+00,-1.464862753173397536e+01
5.474999999999999645e+00,-1.505457058780320700e+01
5.549999999999999822e+00,-1.546621408406286768e+01
5.625000000000000000e+00,-1.588355400912324811e+01
5.700000000000000178e+00,-1.630658661523463238e+01
5.774999999999999467e+00,-1.673530839778708668e+01
5.849999999999999645e+00,-1.716971607648426001e+01
5.924999999999999822e+00,-1.760980657835940733e+01
6.000000000000000000e+00,-1.805557702219003247e+01
