# g,IPR
0.000000000000000000e+00,2.000000000000000389e-02
7.499999999999999722e-02,2.000000000000013226e-02
1.499999999999999944e-01,2.000000000000044104e-02
2.249999999999999778e-01,2.000000000000033348e-02
2.999999999999999889e-01,2.000000000000032307e-02
3.750000000000000000e-01,2.000000000000133962e-02
4.499999999999999556e-01,2.000000000000179412e-02
5.250000000000000222e-01,2.000000000001369779e-02
5.999999999999999778e-01,2.000000000003504530e-02
6.749999999999999334e-01,2.000000000014639720e-02
7.500000000000000000e-01,2.000000000092305372e-02
8.249999999999999556e-01,5.619150464349011859e-02
8.999999999999999112e-01,6.790427982773707127e-02
9.749999999999999778e-01,8.024476198666752325e-02
1.050000000000000044e+00,9.358715531670908083e-02
1.125000000000000000e+00,1.081279188371097877e-01
1.199999999999999956e+00,1.240195717124986247e-01
1.274999999999999911e+00,1.414446066962735671e-01
1.349999999999999867e+00,1.606822659029929212e-01
1.425000000000000044e+00,1.822750996686277880e-01
1.500000000000000000e+00,2.075813474665762770e-01
1.574999999999999956e+00,2.407588405729257364e-01
1.649999999999999911e+00,2.973677040788549886e-01
1.724999999999999867e+00,4.123206446942163095e-01
1.799999999999999822e+00,5.317784115773607212e-01
1.875000000000000000e+00,6.192995142918206186e-01
1.949999999999999956e+00,6.845456590137212194e-01
2.024999999999999911e+00,7.349190969891311598e-01
2.100000000000000089e+00,7.748076661526723807e-01
2.174999999999999822e+00,8.069858320302970567e-01
2.250000000000000000e+00,8.333188178506890642e-01
2.324999999999999734e+00,8.551191993693041393e-01
2.399999999999999911e+00,8.733424468203543345e-01
2.475000000000000089e+00,8.887022454052443399e-01
2.549999999999999822e+00,9.017426719951837644e-01
2.625000000000000000e+00,9.128853438359386674e-01
2.699999999999999734e+00,9.224616607709994476e-01
2.774999999999999911e+00,9.307350854404359275e-01
2.850000000000000089e+00,9.379172671758383428e-01
2.924999999999999822e+00,9.441797572821936102e-01
3.000000000000000000e+00,9.496627242176338690e-01
3.074999999999999734e+00,9.544815157800177197e-01
3.149999999999999911e+00,9.587317062007858492e-01
3.225000000000000089e+00,9.624928812855998439e-01
3.299999999999999822e+00,9.658318101418402746e-01
3.375000000000000000e+00,9.688046779184749102e-01
3.449999999999999734e+00,9.714590342637489107e-01
3.524999999999999911e+00,9.738353071746777001e-01
3.599999999999999645e+00,9.759680019803147477e-01
3.674999999999999822e+00,9.778866753320812899e-01
3.750000000000000000e+00,9.796167632699244177e-01
3.824999999999999734e+00,9.811801993240716335e-01
3.899999999999999911e+00,9.825959799933551286e-01
3.974999999999999645e+00,9.838806193843940839e-01
4.049999999999999822e+00,9.850484933843853819e-01
4.125000000000000000e+00,9.861121641720914655e-01
4.200000000000000178e+00,9.870826314553080572e-01
4.274999999999999467e+00,9.879695681577481681e-01
4.349999999999999645e+00,9.887814778963955886e-01
4.424999999999999822e+00,9.895258799936351712e-01
4.500000000000000000e+00,9.902094147004838476e-01
4.575000000000000178e+00,9.908379749566130767e-01
4.649999999999999467e+00,9.914167989975195550e-01
4.724999999999999645e+00,9.919505429874946323e-01
4.799999999999999822e+00,9.924433677640521756e-01
4.875000000000000000e+00,9.928989860125500000e-01
4.950000000000000178e+00,9.933207318545466125e-01
5.024999999999999467e+00,9.937115780425659350e-01
5.099999999999999645e+00,9.940742149008777728e-01
5.174999999999999822e+00,9.944110527312555181e-01
5.250000000000000000e+00,9.947242620165158700e-01
5.325000000000000178e+00,9.950158123302491608e-01
5.399999999999999467e+00,9.952874771320414649e-01
5.474999999999999645e+00,9.955408658547386658e-01
5.549999999999999822e+00,9.957774333716989945e-01
5.625000000000000000e+00,9.959985044096212325e-01
5.700000000000000178e+00,9.962052848173468256e-01
5.774999999999999467e+00,9.963988679532214121e-01
5.849999999999999645e+00,9.965802529519357522e-01
5.924999999999999822e+00,9.967503528898012943e-01
6.000000000000000000e+00,9.969100002433994856e-01
