# g,E
0.000000000000000000e+00,-1.999999999999999334e+00
7.499999999999999722e-02,-2.000056249999989433e+00
1.499999999999999944e-01,-2.000224999999982600e+00
2.249999999999999778e-01,-2.000506249999989272e+00
2.999999999999999889e-01,-2.000899999999991241e+00
3.750000000000000000e-01,-2.001406249999982290e+00
4.499999999999999556e-01,-2.002024999999990840e+00
5.250000000000000222e-01,-2.002756249999968041e+00
5.999999999999999778e-01,-2.003599999999938763e+00
6.749999999999999334e-01,-2.004556249999997153e+00
7.500000000000000000e-01,-2.005624999999990443e+00
8.249999999999999556e-01,-2.009730897218882539e+00
8.999999999999999112e-01,-2.013748282117643562e+00
9.749999999999999778e-01,-2.018957365319330233e+00
1.050000000000000044e+00,-2.025556728619131608e+00
1.125000000000000000e+00,-2.033781073124895755e+00
1.199999999999999956e+00,-2.043898299350764169e+00
1.274999999999999911e+00,-2.056212935029874789e+00
1.349999999999999867e+00,-2.071075782163789292e+00
1.425000000000000044e+00,-2.088906166336718773e+00
1.500000000000000000e+00,-2.110254075464752965e+00
1.574999999999999956e+00,-2.136004119419982139e+00
1.649999999999999911e+00,-2.168167349652158293e+00
1.724999999999999867e+00,-2.212527723912355526e+00
1.799999999999999822e+00,-2.275349128707137680e+00
1.875000000000000000e+00,-2.355020725712492435e+00
1.949999999999999956e+00,-2.448774710107849195e+00
2.024999999999999911e+00,-2.554745430745838153e+00
2.100000000000000089e+00,-2.671646565454747879e+00
2.174999999999999822e+00,-2.798541137202940288e+00
2.250000000000000000e+00,-2.934718150836753026e+00
2.324999999999999734e+00,-3.079621901491762070e+00
2.399999999999999911e+00,-3.232808346525422483e+00
2.475000000000000089e+00,-3.393916521987053514e+00
2.549999999999999822e+00,-3.562648924917400262e+00
2.625000000000000000e+00,-3.738757550001563068e+00
2.699999999999999734e+00,-3.922033658422821478e+00
2.774999999999999911e+00,-4.112300102855939166e+00
2.850000000000000089e+00,-4.309405456963590453e+00
2.924999999999999822e+00,-4.513219451190429332e+00
3.000000000000000000e+00,-4.723629374458706565e+00
3.074999999999999734e+00,-4.940537203029725433e+00
3.149999999999999911e+00,-5.163857285370364814e+00
3.225000000000000089e+00,-5.393514457967874876e+00
3.299999999999999822e+00,-5.629442499080533402e+00
3.375000000000000000e+00,-5.871582850411798837e+00
3.449999999999999734e+00,-6.119883553089686679e+00
3.524999999999999911e+00,-6.374298356591737935e+00
3.599999999999999645e+00,-6.634785968309541815e+00
3.674999999999999822e+00,-6.901309418255695327e+00
3.750000000000000000e+00,-7.173835518663340238e+00
3.824999999999999734e+00,-7.452334402287663195e+00
3.899999999999999911e+00,-7.736779126220971747e+00
3.974999999999999645e+00,-8.027145330716789928e+00
4.049999999999999822e+00,-8.323410944192637828e+00
4.125000000000000000e+00,-8.625555927371818754e+00
4.200000000000000178e+00,-8.933562050583260472e+00
4.274999999999999467e+00,-9.247412699402389080e+00
4.349999999999999645e+00,-9.567092704401778391e+00
4.424999999999999822e+00,-9.892588191779214668e+00
4.500000000000000000e+00,-1.022388645181199607e+01
4.575000000000000178e+00,-1.056097582277310387e+01
4.649999999999999467e+00,-1.090384558827074102e+01
4.724999999999999645e+00,-1.125248588620318735e+01
4.799999999999999822e+00,-1.160688762784581840e+01
4.875000000000000000e+00,-1.196704242584193700e+01
4.950000000000000178e+00,-1.233294252989528950e+01
5.024999999999999467e+00,-1.270458076930407998e+01
5.099999999999999645e+00,-1.308195050154713890e+01
5.174999999999999822e+00,-1.346504556596554991e+01
5.250000000000000000e+00,-1.385386024236867719e+01
5.325000000000000178e+00,-1.424838921358242594e+01
5.399999999999999467e+00,-1.464862753173283316e+01
5.474999999999999645e+00,-1.505457058780180546e+01
5.549999999999999822e+00,-1.546621408406293874e+01
5.625000000000000000e+00,-1.588355400912140070e+01
5.700000000000000178e+00,-1.630658661524226716e+01
5.774999999999999467e+00,-1.673530839778742774e+01
5.849999999999999645e+00,-1.716971607648158837e+01
5.924999999999999822e+00,-1.760980657835786545e+01
6.000000000000000000e+00,-1.805557702216485794e+01
