# g,IPR
0.000000000000000000e+00,2.941176470588351480e-02
7.499999999999999722e-02,2.948382202869946622e-02
1.499999999999999944e-01,2.970729181224170470e-02
2.249999999999999778e-01,3.010574130303748930e-02
2.999999999999999889e-01,3.072464355021767637e-02
3.750000000000000000e-01,3.164294431336034386e-02
4.499999999999999556e-01,3.299436003006642887e-02
5.250000000000000222e-01,3.500306424028121893e-02
5.999999999999999778e-01,3.803015754349123312e-02
6.749999999999999334e-01,4.258236646392526970e-02
7.500000000000000000e-01,4.914868195068362172e-02
8.249999999999999556e-01,5.785224116733507504e-02
8.999999999999999112e-01,6.837986641737171800e-02
9.749999999999999778e-01,8.035812149711282770e-02
1.050000000000000044e+00,9.360972094715395986e-02
1.125000000000000000e+00,1.081316650693191772e-01
1.199999999999999956e+00,1.240197824335751708e-01
1.274999999999999911e+00,1.414382730564377189e-01
1.349999999999999867e+00,1.606166258931396029e-01
1.425000000000000044e+00,1.818163882920400543e-01
1.500000000000000000e+00,2.051701336554157540e-01
1.574999999999999956e+00,2.303610218208461680e-01
1.649999999999999911e+00,2.973674639530423103e-01
1.724999999999999867e+00,4.123207914417219011e-01
1.799999999999999822e+00,5.317782916036145613e-01
1.875000000000000000e+00,6.192995150660710602e-01
1.949999999999999956e+00,6.845458465148458460e-01
2.024999999999999911e+00,7.349190847732361975e-01
2.100000000000000089e+00,7.748076497391637174e-01
2.174999999999999822e+00,8.069858276420718290e-01
2.250000000000000000e+00,8.333188021762448772e-01
2.324999999999999734e+00,8.551191862196507731e-01
2.399999999999999911e+00,8.733424377109495484e-01
2.475000000000000089e+00,8.887022507580168984e-01
2.549999999999999822e+00,9.017426687189655787e-01
2.625000000000000000e+00,9.128853479027344564e-01
2.699999999999999734e+00,9.224616627083392917e-01
2.774999999999999911e+00,9.307350937912978184e-01
2.850000000000000089e+00,9.379172701305922288e-01
2.924999999999999822e+00,9.441797682212090814e-01
3.000000000000000000e+00,9.496627264538031188e-01
3.074999999999999734e+00,9.544815108480878552e-01
3.149999999999999911e+00,9.587317022629672225e-01
3.225000000000000089e+00,9.624928893692905607e-01
3.299999999999999822e+00,9.658318137133926617e-01
3.375000000000000000e+00,9.688046797655009978e-01
3.449999999999999734e+00,9.714590373999885120e-01
3.524999999999999911e+00,9.738353101488770314e-01
3.599999999999999645e+00,9.759680031789236265e-01
3.674999999999999822e+00,9.778866774593290012e-01
3.750000000000000000e+00,9.796167605159407099e-01
3.824999999999999734e+00,9.811801972284646123e-01
3.899999999999999911e+00,9.825959793846169577e-01
3.974999999999999645e+00,9.838806247735765176e-01
4.049999999999999822e+00,9.850484938576845595e-01
4.125000000000000000e+00,9.861121636080003583e-01
4.200000000000000178e+00,9.870826340182905501e-01
4.274999999999999467e+00,9.879695678849392815e-01
4.349999999999999645e+00,9.887814794974821853e-01
4.424999999999999822e+00,9.895258796909781607e-01
4.500000000000000000e+00,9.902094134647284607e-01
4.575000000000000178e+00,9.908379750673576014e-01
4.649999999999999467e+00,9.914167962955383606e-01
4.724999999999999645e+00,9.919505427235639772e-01
4.799999999999999822e+00,9.924433695081420481e-01
4.875000000000000000e+00,9.928989877543050735e-01
4.950000000000000178e+00,9.933207308546241343e-01
5.024999999999999467e+00,9.937115799213478429e-01
5.099999999999999645e+00,9.940742147987911004e-01
5.174999999999999822e+00,9.944110512750864439e-01
5.250000000000000000e+00,9.947242619051168688e-01
5.325000000000000178e+00,9.950158132378642550e-01
5.399999999999999467e+00,9.952874781574041485e-01
5.474999999999999645e+00,9.955408654999023943e-01
5.549999999999999822e+00,9.957774318556035231e-01
5.625000000000000000e+00,9.959985051623023722e-01
5.700000000000000178e+00,9.962052847689268908e-01
5.774999999999999467e+00,9.963988676708659398e-01
5.849999999999999645e+00,9.965802525157753111e-01
5.924999999999999822e+00,9.967503519942043644e-01
6.000000000000000000e+00,9.969099985838539846e-01
